"Country","Year","Elected","year1","year2","year3","year4","year5","year6"
"Albania",1984,"n",1.16,1.09,1.05,1.06,1.01,1.08
"Albania",1985,"n",1.09,1.05,1.06,1.01,1.08,1.02
"Albania",1986,"n",1.05,1.06,1.01,1.08,1.02,1.02
"Albania",1987,"n",1.06,1.01,1.08,1.02,1.02,1.14
"Albania",1988,"n",1.01,1.08,1.02,1.02,1.14,0.93
"Albania",1989,"n",1.08,1.02,1.02,1.14,0.93,0.75
"Albania",1990,"n",1.02,1.02,1.14,0.93,0.75,0.95
"Albania",1991,"n",1.02,1.14,0.93,0.75,0.95,1.12
"Albania",1992,"n",1.14,0.93,0.75,0.95,1.12,1.12
"Albania",1993,"n",0.93,0.75,0.95,1.12,1.12,1.11
"Albania",1994,"n",0.75,0.95,1.12,1.12,1.11,1.11
"Albania",1995,"n",0.95,1.12,1.12,1.11,1.11,0.91
"Albania",1996,"n",1.12,1.12,1.11,1.11,0.91,1.14
"Albania",1997,"n",1.12,1.11,1.11,0.91,1.14,1.12
"Albania",1998,"n",1.11,1.11,0.91,1.14,1.12,1.1
"Albania",1999,"n",1.11,0.91,1.14,1.12,1.1,1.1
"Albania",2000,"n",0.91,1.14,1.12,1.1,1.1,1.06
"Albania",2001,"n",1.14,1.12,1.1,1.1,1.06,1.08
"Albania",2002,"n",1.12,1.1,1.1,1.06,1.08,1.05
"Albania",2003,"n",1.1,1.1,1.06,1.08,1.05,1.08
"Albania",2004,"n",1.1,1.06,1.08,1.05,1.08,1.09
"Albania",2005,"n",1.06,1.08,1.05,1.08,1.09,1.09
"Albania",2006,"n",1.08,1.05,1.08,1.09,1.09,1.1
"Albania",2007,"n",1.05,1.08,1.09,1.09,1.1,1.04
"Albania",2008,"n",1.08,1.09,1.09,1.1,1.04,1.05
"Albania",2009,"n",1.09,1.09,1.1,1.04,1.05,1.04
"Algeria",1984,"n",1.13,1.13,1.1,1.1,1.09,1.02
"Algeria",1985,"n",1.13,1.1,1.1,1.09,1.02,1.02
"Algeria",1986,"n",1.1,1.1,1.09,1.02,1.02,1.01
"Algeria",1987,"n",1.1,1.09,1.02,1.02,1.01,1.09
"Algeria",1988,"y",1.09,1.02,1.02,1.01,1.09,1.05
"Algeria",1989,"n",1.02,1.02,1.01,1.09,1.05,1.02
"Algeria",1990,"n",1.02,1.01,1.09,1.05,1.02,1.04
"Algeria",1991,"n",1.01,1.09,1.05,1.02,1.04,1
"Algeria",1992,"n",1.09,1.05,1.02,1.04,1,1.01
"Algeria",1993,"n",1.05,1.02,1.04,1,1.01,1.06
"Algeria",1994,"n",1.02,1.04,1,1.01,1.06,1.06
"Algeria",1995,"n",1.04,1,1.01,1.06,1.06,1.03
"Algeria",1996,"n",1,1.01,1.06,1.06,1.03,1.06
"Algeria",1997,"n",1.01,1.06,1.06,1.03,1.06,1.05
"Algeria",1998,"n",1.06,1.06,1.03,1.06,1.05,1.04
"Algeria",1999,"n",1.06,1.03,1.06,1.05,1.04,1.05
"Algeria",2000,"n",1.03,1.06,1.05,1.04,1.05,1.06
"Algeria",2001,"n",1.06,1.05,1.04,1.05,1.06,1.09
"Algeria",2002,"n",1.05,1.04,1.05,1.06,1.09,1.09
"Algeria",2003,"n",1.04,1.05,1.06,1.09,1.09,1.1
"Algeria",2004,"y",1.05,1.06,1.09,1.09,1.1,1.05
"Algeria",2005,"n",1.06,1.09,1.09,1.1,1.05,1.06
"Algeria",2006,"n",1.09,1.09,1.1,1.05,1.06,1.05
"Algeria",2007,"n",1.09,1.1,1.05,1.06,1.05,1.04
"Algeria",2008,"n",1.1,1.05,1.06,1.05,1.04,1.04
"Algeria",2009,"n",1.05,1.06,1.05,1.04,1.04,1.05
"Angola",1984,"n",1.05,1.06,1.08,1.1,1.07,1.05
"Angola",1985,"n",1.06,1.08,1.1,1.07,1.05,1.07
"Angola",1986,"n",1.08,1.1,1.07,1.05,1.07,1.1
"Angola",1987,"n",1.1,1.07,1.05,1.07,1.1,1.04
"Angola",1988,"n",1.07,1.05,1.07,1.1,1.04,1
"Angola",1989,"n",1.05,1.07,1.1,1.04,1,1.05
"Angola",1990,"n",1.07,1.1,1.04,1,1.05,0.96
"Angola",1991,"n",1.1,1.04,1,1.05,0.96,0.78
"Angola",1992,"n",1.04,1,1.05,0.96,0.78,1.03
"Angola",1993,"n",1,1.05,0.96,0.78,1.03,1.17
"Angola",1994,"n",1.05,0.96,0.78,1.03,1.17,1.22
"Angola",1995,"n",0.96,0.78,1.03,1.17,1.22,1.07
"Angola",1996,"n",0.78,1.03,1.17,1.22,1.07,1.01
"Angola",1997,"n",1.03,1.17,1.22,1.07,1.01,1.05
"Angola",1998,"n",1.17,1.22,1.07,1.01,1.05,1.05
"Angola",1999,"n",1.22,1.07,1.01,1.05,1.05,1.05
"Angola",2000,"n",1.07,1.01,1.05,1.05,1.05,1.16
"Angola",2001,"n",1.01,1.05,1.05,1.05,1.16,1.05
"Angola",2002,"n",1.05,1.05,1.05,1.16,1.05,1.14
"Angola",2003,"y",1.05,1.05,1.16,1.05,1.14,1.16
"Angola",2004,"n",1.05,1.16,1.05,1.14,1.16,1.25
"Angola",2005,"n",1.16,1.05,1.14,1.16,1.25,1.26
"Angola",2006,"n",1.05,1.14,1.16,1.25,1.26,1.16
"Angola",2007,"n",1.14,1.16,1.25,1.26,1.16,1.03
"Angola",2008,"n",1.16,1.25,1.26,1.16,1.03,1.05
"Angola",2009,"n",1.25,1.26,1.16,1.03,1.05,1.06
"Antigua and Barbuda",1984,"n",1.13,1.05,1.1,1.14,1.11,1.11
"Antigua and Barbuda",1985,"n",1.05,1.1,1.14,1.11,1.11,1.12
"Antigua and Barbuda",1986,"n",1.1,1.14,1.11,1.11,1.12,1.09
"Antigua and Barbuda",1987,"n",1.14,1.11,1.11,1.12,1.09,1.11
"Antigua and Barbuda",1988,"n",1.11,1.11,1.12,1.09,1.11,1.06
"Antigua and Barbuda",1989,"n",1.11,1.12,1.09,1.11,1.06,1.06
"Antigua and Barbuda",1990,"n",1.12,1.09,1.11,1.06,1.06,1.03
"Antigua and Barbuda",1991,"n",1.09,1.11,1.06,1.06,1.03,1.07
"Antigua and Barbuda",1992,"n",1.11,1.06,1.06,1.03,1.07,1.08
"Antigua and Barbuda",1993,"n",1.06,1.06,1.03,1.07,1.08,0.97
"Antigua and Barbuda",1994,"n",1.06,1.03,1.07,1.08,0.97,1.08
"Antigua and Barbuda",1995,"n",1.03,1.07,1.08,0.97,1.08,1.07
"Antigua and Barbuda",1996,"n",1.07,1.08,0.97,1.08,1.07,1.06
"Antigua and Barbuda",1997,"n",1.08,0.97,1.08,1.07,1.06,1.06
"Antigua and Barbuda",1998,"n",0.97,1.08,1.07,1.06,1.06,1.06
"Antigua and Barbuda",1999,"n",1.08,1.07,1.06,1.06,1.06,0.98
"Antigua and Barbuda",2000,"n",1.07,1.06,1.06,1.06,0.98,1.04
"Antigua and Barbuda",2001,"n",1.06,1.06,1.06,0.98,1.04,1.08
"Antigua and Barbuda",2002,"n",1.06,1.06,0.98,1.04,1.08,1.08
"Antigua and Barbuda",2003,"n",1.06,0.98,1.04,1.08,1.08,1.12
"Antigua and Barbuda",2004,"n",0.98,1.04,1.08,1.08,1.12,1.16
"Antigua and Barbuda",2005,"n",1.04,1.08,1.08,1.12,1.16,1.1
"Antigua and Barbuda",2006,"n",1.08,1.08,1.12,1.16,1.1,1.04
"Antigua and Barbuda",2007,"n",1.08,1.12,1.16,1.1,1.04,0.91
"Antigua and Barbuda",2008,"n",1.12,1.16,1.1,1.04,0.91,0.92
"Antigua and Barbuda",2009,"n",1.16,1.1,1.04,0.91,0.92,1.02
"Argentina",1984,"n",1.03,1.03,1.08,1.06,0.96,1.1
"Argentina",1985,"n",1.03,1.08,1.06,0.96,1.1,1.06
"Argentina",1986,"n",1.08,1.06,0.96,1.1,1.06,1.01
"Argentina",1987,"y",1.06,0.96,1.1,1.06,1.01,0.97
"Argentina",1988,"n",0.96,1.1,1.06,1.01,0.97,1.02
"Argentina",1989,"n",1.1,1.06,1.01,0.97,1.02,1.14
"Argentina",1990,"n",1.06,1.01,0.97,1.02,1.14,1.13
"Argentina",1991,"n",1.01,0.97,1.02,1.14,1.13,1.09
"Argentina",1992,"n",0.97,1.02,1.14,1.13,1.09,1.08
"Argentina",1993,"n",1.02,1.14,1.13,1.09,1.08,0.99
"Argentina",1994,"y",1.14,1.13,1.09,1.08,0.99,1.08
"Argentina",1995,"n",1.13,1.09,1.08,0.99,1.08,1.1
"Argentina",1996,"n",1.09,1.08,0.99,1.08,1.1,1.05
"Argentina",1997,"n",1.08,0.99,1.08,1.1,1.05,0.98
"Argentina",1998,"n",0.99,1.08,1.1,1.05,0.98,1.01
"Argentina",1999,"y",1.08,1.1,1.05,0.98,1.01,0.98
"Argentina",2000,"n",1.1,1.05,0.98,1.01,0.98,0.91
"Argentina",2001,"n",1.05,0.98,1.01,0.98,0.91,1.11
"Argentina",2002,"n",0.98,1.01,0.98,0.91,1.11,1.12
"Argentina",2003,"n",1.01,0.98,0.91,1.11,1.12,1.12
"Argentina",2004,"n",0.98,0.91,1.11,1.12,1.12,1.12
"Argentina",2005,"y",0.91,1.11,1.12,1.12,1.12,1.12
"Argentina",2006,"n",1.11,1.12,1.12,1.12,1.12,1.09
"Argentina",2007,"n",1.12,1.12,1.12,1.12,1.09,1.02
"Argentina",2008,"n",1.12,1.12,1.12,1.09,1.02,1.1
"Argentina",2009,"n",1.12,1.12,1.09,1.02,1.1,1.11
"Armenia",1984,"n",,,,,,
"Armenia",1985,"n",,,,,,
"Armenia",1986,"n",,,,,,
"Armenia",1987,"n",,,,,,
"Armenia",1988,"n",,,,,,
"Armenia",1989,"n",,,,,,
"Armenia",1990,"n",,,,,,
"Armenia",1991,"n",,,,,,0.88
"Armenia",1992,"n",,,,,0.88,1.08
"Armenia",1993,"n",,,,0.88,1.08,1.1
"Armenia",1994,"n",,,0.88,1.08,1.1,1.07
"Armenia",1995,"n",,0.88,1.08,1.1,1.07,1.05
"Armenia",1996,"n",0.88,1.08,1.1,1.07,1.05,1.07
"Armenia",1997,"n",1.08,1.1,1.07,1.05,1.07,1.05
"Armenia",1998,"n",1.1,1.07,1.05,1.07,1.05,1.08
"Armenia",1999,"n",1.07,1.05,1.07,1.05,1.08,1.12
"Armenia",2000,"n",1.05,1.07,1.05,1.08,1.12,1.17
"Armenia",2001,"n",1.07,1.05,1.08,1.12,1.17,1.16
"Armenia",2002,"n",1.05,1.08,1.12,1.17,1.16,1.13
"Armenia",2003,"n",1.08,1.12,1.17,1.16,1.13,1.17
"Armenia",2004,"n",1.12,1.17,1.16,1.13,1.17,1.17
"Armenia",2005,"n",1.17,1.16,1.13,1.17,1.17,1.17
"Armenia",2006,"n",1.16,1.13,1.17,1.17,1.17,1.09
"Armenia",2007,"n",1.13,1.17,1.17,1.17,1.09,0.87
"Armenia",2008,"n",1.17,1.17,1.17,1.09,0.87,1.03
"Armenia",2009,"n",1.17,1.17,1.09,0.87,1.03,1.07
"Australia",1984,"n",1.14,1.06,1.03,1.1,1.09,1.04
"Australia",1985,"y",1.06,1.03,1.1,1.09,1.04,1.07
"Australia",1986,"n",1.03,1.1,1.09,1.04,1.07,1.08
"Australia",1987,"n",1.1,1.09,1.04,1.07,1.08,1.08
"Australia",1988,"n",1.09,1.04,1.07,1.08,1.08,1.06
"Australia",1989,"n",1.04,1.07,1.08,1.08,1.06,1.02
"Australia",1990,"n",1.07,1.08,1.08,1.06,1.02,1.05
"Australia",1991,"n",1.08,1.08,1.06,1.02,1.05,1.06
"Australia",1992,"n",1.08,1.06,1.02,1.05,1.06,1.07
"Australia",1993,"n",1.06,1.02,1.05,1.06,1.07,1.05
"Australia",1994,"n",1.02,1.05,1.06,1.07,1.05,1.06
"Australia",1995,"n",1.05,1.06,1.07,1.05,1.06,1.06
"Australia",1996,"n",1.06,1.07,1.05,1.06,1.06,1.06
"Australia",1997,"n",1.07,1.05,1.06,1.06,1.06,1.06
"Australia",1998,"n",1.05,1.06,1.06,1.06,1.06,1.05
"Australia",1999,"n",1.06,1.06,1.06,1.06,1.05,1.05
"Australia",2000,"n",1.06,1.06,1.06,1.05,1.05,1.06
"Australia",2001,"n",1.06,1.06,1.05,1.05,1.06,1.05
"Australia",2002,"n",1.06,1.05,1.05,1.06,1.05,1.06
"Australia",2003,"n",1.05,1.05,1.06,1.05,1.06,1.06
"Australia",2004,"n",1.05,1.06,1.05,1.06,1.06,1.06
"Australia",2005,"n",1.06,1.05,1.06,1.06,1.06,1.08
"Australia",2006,"n",1.05,1.06,1.06,1.06,1.08,1.05
"Australia",2007,"n",1.06,1.06,1.06,1.08,1.05,1.02
"Australia",2008,"n",1.06,1.06,1.08,1.05,1.02,1.04
"Australia",2009,"n",1.06,1.08,1.05,1.02,1.04,1.04
"Austria",1984,"n",1.09,1.08,1.07,1.04,1.05,1.05
"Austria",1985,"n",1.08,1.07,1.04,1.05,1.05,1.05
"Austria",1986,"n",1.07,1.04,1.05,1.05,1.05,1.04
"Austria",1987,"n",1.04,1.05,1.05,1.05,1.04,1.08
"Austria",1988,"n",1.05,1.05,1.05,1.04,1.08,1.08
"Austria",1989,"n",1.05,1.05,1.04,1.08,1.08,1.07
"Austria",1990,"n",1.05,1.04,1.08,1.08,1.07,1.04
"Austria",1991,"y",1.04,1.08,1.08,1.07,1.04,1.03
"Austria",1992,"n",1.08,1.08,1.07,1.04,1.03,1.04
"Austria",1993,"n",1.08,1.07,1.04,1.03,1.04,1.04
"Austria",1994,"n",1.07,1.04,1.03,1.04,1.04,1.04
"Austria",1995,"n",1.04,1.03,1.04,1.04,1.04,1.04
"Austria",1996,"n",1.03,1.04,1.04,1.04,1.04,1.05
"Austria",1997,"n",1.04,1.04,1.04,1.04,1.05,1.05
"Austria",1998,"n",1.04,1.04,1.04,1.05,1.05,1.06
"Austria",1999,"n",1.04,1.04,1.05,1.05,1.06,1.03
"Austria",2000,"n",1.04,1.05,1.05,1.06,1.03,1.03
"Austria",2001,"n",1.05,1.05,1.06,1.03,1.03,1.03
"Austria",2002,"n",1.05,1.06,1.03,1.03,1.03,1.05
"Austria",2003,"n",1.06,1.03,1.03,1.03,1.05,1.06
"Austria",2004,"n",1.03,1.03,1.03,1.05,1.06,1.07
"Austria",2005,"n",1.03,1.03,1.05,1.06,1.07,1.07
"Austria",2006,"n",1.03,1.05,1.06,1.07,1.07,1.04
"Austria",2007,"n",1.05,1.06,1.07,1.07,1.04,0.97
"Austria",2008,"n",1.06,1.07,1.07,1.04,0.97,1.03
"Austria",2009,"y",1.07,1.07,1.04,0.97,1.03,1.05
"Azerbaijan",1984,"n",,,,,,
"Azerbaijan",1985,"n",,,,,,
"Azerbaijan",1986,"n",,,,,,
"Azerbaijan",1987,"n",,,,,,
"Azerbaijan",1988,"n",,,,,,
"Azerbaijan",1989,"n",,,,,,
"Azerbaijan",1990,"n",,,,,,
"Azerbaijan",1991,"n",,,,,,0.79
"Azerbaijan",1992,"n",,,,,0.79,0.82
"Azerbaijan",1993,"n",,,,0.79,0.82,0.89
"Azerbaijan",1994,"n",,,0.79,0.82,0.89,1.04
"Azerbaijan",1995,"n",,0.79,0.82,0.89,1.04,1.11
"Azerbaijan",1996,"n",0.79,0.82,0.89,1.04,1.11,1.07
"Azerbaijan",1997,"n",0.82,0.89,1.04,1.11,1.07,1.13
"Azerbaijan",1998,"n",0.89,1.04,1.11,1.07,1.13,1.09
"Azerbaijan",1999,"n",1.04,1.11,1.07,1.13,1.09,1.09
"Azerbaijan",2000,"n",1.11,1.07,1.13,1.09,1.09,1.1
"Azerbaijan",2001,"n",1.07,1.13,1.09,1.09,1.1,1.13
"Azerbaijan",2002,"n",1.13,1.09,1.09,1.1,1.13,1.13
"Azerbaijan",2003,"n",1.09,1.09,1.1,1.13,1.13,1.3
"Azerbaijan",2004,"n",1.09,1.1,1.13,1.13,1.3,1.39
"Azerbaijan",2005,"n",1.1,1.13,1.13,1.3,1.39,1.29
"Azerbaijan",2006,"n",1.13,1.13,1.3,1.39,1.29,1.13
"Azerbaijan",2007,"n",1.13,1.3,1.39,1.29,1.13,1.1
"Azerbaijan",2008,"n",1.3,1.39,1.29,1.13,1.1,1.06
"Azerbaijan",2009,"n",1.39,1.29,1.13,1.1,1.06,1.02
"Bahrain",1984,"n",1.12,1.13,1.11,1.08,1.02,1.03
"Bahrain",1985,"n",1.13,1.11,1.08,1.02,1.03,1.02
"Bahrain",1986,"n",1.11,1.08,1.02,1.03,1.02,1.1
"Bahrain",1987,"n",1.08,1.02,1.03,1.02,1.1,1.08
"Bahrain",1988,"n",1.02,1.03,1.02,1.1,1.08,1.11
"Bahrain",1989,"n",1.03,1.02,1.1,1.08,1.11,1.05
"Bahrain",1990,"n",1.02,1.1,1.08,1.11,1.05,1.09
"Bahrain",1991,"n",1.1,1.08,1.11,1.05,1.09,1.15
"Bahrain",1992,"n",1.08,1.11,1.05,1.09,1.15,1.02
"Bahrain",1993,"n",1.11,1.05,1.09,1.15,1.02,1.06
"Bahrain",1994,"n",1.05,1.09,1.15,1.02,1.06,1.06
"Bahrain",1995,"n",1.09,1.15,1.02,1.06,1.06,1.05
"Bahrain",1996,"n",1.15,1.02,1.06,1.06,1.05,1.06
"Bahrain",1997,"n",1.02,1.06,1.06,1.05,1.06,1.06
"Bahrain",1998,"y",1.06,1.06,1.05,1.06,1.06,1.08
"Bahrain",1999,"n",1.06,1.05,1.06,1.06,1.08,1.07
"Bahrain",2000,"n",1.05,1.06,1.06,1.08,1.07,1.07
"Bahrain",2001,"n",1.06,1.06,1.08,1.07,1.07,1.1
"Bahrain",2002,"n",1.06,1.08,1.07,1.07,1.1,1.1
"Bahrain",2003,"n",1.08,1.07,1.07,1.1,1.1,1.12
"Bahrain",2004,"n",1.07,1.07,1.1,1.1,1.12,1.1
"Bahrain",2005,"n",1.07,1.1,1.1,1.12,1.1,1.12
"Bahrain",2006,"n",1.1,1.1,1.12,1.1,1.12,1.09
"Bahrain",2007,"n",1.1,1.12,1.1,1.12,1.09,1.04
"Bahrain",2008,"n",1.12,1.1,1.12,1.09,1.04,1.06
"Bahrain",2009,"n",1.1,1.12,1.09,1.04,1.06,1.04
"Bangladesh",1984,"n",1.13,1.1,1.09,1.08,1.07,1.06
"Bangladesh",1985,"n",1.1,1.09,1.08,1.07,1.06,1.06
"Bangladesh",1986,"n",1.09,1.08,1.07,1.06,1.06,1.06
"Bangladesh",1987,"n",1.08,1.07,1.06,1.06,1.06,1.08
"Bangladesh",1988,"n",1.07,1.06,1.06,1.06,1.08,1.09
"Bangladesh",1989,"n",1.06,1.06,1.06,1.08,1.09,1.08
"Bangladesh",1990,"n",1.06,1.06,1.08,1.09,1.08,1.07
"Bangladesh",1991,"n",1.06,1.08,1.09,1.08,1.07,1.07
"Bangladesh",1992,"n",1.08,1.09,1.08,1.07,1.07,1.07
"Bangladesh",1993,"n",1.09,1.08,1.07,1.07,1.07,1.07
"Bangladesh",1994,"n",1.08,1.07,1.07,1.07,1.07,1.07
"Bangladesh",1995,"n",1.07,1.07,1.07,1.07,1.07,1.07
"Bangladesh",1996,"n",1.07,1.07,1.07,1.07,1.07,1.06
"Bangladesh",1997,"n",1.07,1.07,1.07,1.07,1.06,1.07
"Bangladesh",1998,"n",1.07,1.07,1.07,1.06,1.07,1.08
"Bangladesh",1999,"n",1.07,1.07,1.06,1.07,1.08,1.07
"Bangladesh",2000,"y",1.07,1.06,1.07,1.08,1.07,1.07
"Bangladesh",2001,"n",1.06,1.07,1.08,1.07,1.07,1.08
"Bangladesh",2002,"n",1.07,1.08,1.07,1.07,1.08,1.09
"Bangladesh",2003,"n",1.08,1.07,1.07,1.08,1.09,1.1
"Bangladesh",2004,"n",1.07,1.07,1.08,1.09,1.1,1.1
"Bangladesh",2005,"n",1.07,1.08,1.09,1.1,1.1,1.09
"Bangladesh",2006,"n",1.08,1.09,1.1,1.1,1.09,1.08
"Bangladesh",2007,"n",1.09,1.1,1.1,1.09,1.08,1.07
"Bangladesh",2008,"n",1.1,1.1,1.09,1.08,1.07,1.08
"Bangladesh",2009,"n",1.1,1.09,1.08,1.07,1.08,1.08
"Barbados",1984,"n",1.07,1.01,1.04,1.07,1.04,1.07
"Barbados",1985,"n",1.01,1.04,1.07,1.04,1.07,1.06
"Barbados",1986,"n",1.04,1.07,1.04,1.07,1.06,1.07
"Barbados",1987,"n",1.07,1.04,1.07,1.06,1.07,1.08
"Barbados",1988,"n",1.04,1.07,1.06,1.07,1.08,1
"Barbados",1989,"n",1.07,1.06,1.07,1.08,1,0.99
"Barbados",1990,"n",1.06,1.07,1.08,1,0.99,0.97
"Barbados",1991,"n",1.07,1.08,1,0.99,0.97,1.03
"Barbados",1992,"n",1.08,1,0.99,0.97,1.03,1.04
"Barbados",1993,"n",1,0.99,0.97,1.03,1.04,1.04
"Barbados",1994,"n",0.99,0.97,1.03,1.04,1.04,1.06
"Barbados",1995,"n",0.97,1.03,1.04,1.04,1.06,1.07
"Barbados",1996,"n",1.03,1.04,1.04,1.06,1.07,1.05
"Barbados",1997,"n",1.04,1.04,1.06,1.07,1.05,1.02
"Barbados",1998,"n",1.04,1.06,1.07,1.05,1.02,1.05
"Barbados",1999,"n",1.06,1.07,1.05,1.02,1.05,1
"Barbados",2000,"n",1.07,1.05,1.02,1.05,1,1.02
"Barbados",2001,"n",1.05,1.02,1.05,1,1.02,1.04
"Barbados",2002,"n",1.02,1.05,1,1.02,1.04,1.08
"Barbados",2003,"n",1.05,1,1.02,1.04,1.08,1.13
"Barbados",2004,"n",1,1.02,1.04,1.08,1.13,1.07
"Barbados",2005,"n",1.02,1.04,1.08,1.13,1.07,1.07
"Barbados",2006,"n",1.04,1.08,1.13,1.07,1.07,1.02
"Barbados",2007,"n",1.08,1.13,1.07,1.07,1.02,0.97
"Barbados",2008,"n",1.13,1.07,1.07,1.02,0.97,1.01
"Barbados",2009,"n",1.07,1.07,1.02,0.97,1.01,1.03
"Belarus",1984,"n",,,,,,
"Belarus",1985,"n",,,,,,
"Belarus",1986,"n",,,,,,
"Belarus",1987,"n",,,,,,
"Belarus",1988,"n",,,,,,
"Belarus",1989,"n",,,,,,
"Belarus",1990,"n",,,,,,
"Belarus",1991,"n",,,,,,0.94
"Belarus",1992,"n",,,,,0.94,0.9
"Belarus",1993,"n",,,,0.94,0.9,0.91
"Belarus",1994,"n",,,0.94,0.9,0.91,1.05
"Belarus",1995,"n",,0.94,0.9,0.91,1.05,1.13
"Belarus",1996,"n",0.94,0.9,0.91,1.05,1.13,1.1
"Belarus",1997,"n",0.9,0.91,1.05,1.13,1.1,1.05
"Belarus",1998,"n",0.91,1.05,1.13,1.1,1.05,1.08
"Belarus",1999,"n",1.05,1.13,1.1,1.05,1.08,1.07
"Belarus",2000,"n",1.13,1.1,1.05,1.08,1.07,1.07
"Belarus",2001,"n",1.1,1.05,1.08,1.07,1.07,1.09
"Belarus",2002,"n",1.05,1.08,1.07,1.07,1.09,1.12
"Belarus",2003,"n",1.08,1.07,1.07,1.09,1.12,1.17
"Belarus",2004,"n",1.07,1.07,1.09,1.12,1.17,1.14
"Belarus",2005,"n",1.07,1.09,1.12,1.17,1.14,1.12
"Belarus",2006,"n",1.09,1.12,1.17,1.14,1.12,1.13
"Belarus",2007,"n",1.12,1.17,1.14,1.12,1.13,1.01
"Belarus",2008,"n",1.17,1.14,1.12,1.13,1.01,1.09
"Belarus",2009,"n",1.14,1.12,1.13,1.01,1.09,1.08
"Belgium",1984,"n",1.1,1.07,1.04,1.06,1.05,1.04
"Belgium",1985,"n",1.07,1.04,1.06,1.05,1.04,1.05
"Belgium",1986,"n",1.04,1.06,1.05,1.04,1.05,1.08
"Belgium",1987,"n",1.06,1.05,1.04,1.05,1.08,1.08
"Belgium",1988,"n",1.05,1.04,1.05,1.08,1.08,1.07
"Belgium",1989,"n",1.04,1.05,1.08,1.08,1.07,1.05
"Belgium",1990,"n",1.05,1.08,1.08,1.07,1.05,1.04
"Belgium",1991,"y",1.08,1.08,1.07,1.05,1.04,1.02
"Belgium",1992,"n",1.08,1.07,1.05,1.04,1.02,1.05
"Belgium",1993,"n",1.07,1.05,1.04,1.02,1.05,1.06
"Belgium",1994,"n",1.05,1.04,1.02,1.05,1.06,1.03
"Belgium",1995,"n",1.04,1.02,1.05,1.06,1.03,1.06
"Belgium",1996,"n",1.02,1.05,1.06,1.03,1.06,1.03
"Belgium",1997,"n",1.05,1.06,1.03,1.06,1.03,1.05
"Belgium",1998,"n",1.06,1.03,1.06,1.03,1.05,1.06
"Belgium",1999,"n",1.03,1.06,1.03,1.05,1.06,1.03
"Belgium",2000,"n",1.06,1.03,1.05,1.06,1.03,1.03
"Belgium",2001,"n",1.03,1.05,1.06,1.03,1.03,1.03
"Belgium",2002,"n",1.05,1.06,1.03,1.03,1.03,1.06
"Belgium",2003,"n",1.06,1.03,1.03,1.03,1.06,1.05
"Belgium",2004,"n",1.03,1.03,1.03,1.06,1.05,1.06
"Belgium",2005,"n",1.03,1.03,1.06,1.05,1.06,1.06
"Belgium",2006,"n",1.03,1.06,1.05,1.06,1.06,1.03
"Belgium",2007,"y",1.06,1.05,1.06,1.06,1.03,0.98
"Belgium",2008,"n",1.05,1.06,1.06,1.03,0.98,1.03
"Belgium",2009,"n",1.06,1.06,1.03,0.98,1.03,1.04
"Belize",1984,"n",1.1,0.98,1.1,1.16,1.02,1.1
"Belize",1985,"n",0.98,1.1,1.16,1.02,1.1,1.26
"Belize",1986,"n",1.1,1.16,1.02,1.1,1.26,1.15
"Belize",1987,"n",1.16,1.02,1.1,1.26,1.15,1.2
"Belize",1988,"n",1.02,1.1,1.26,1.15,1.2,1.16
"Belize",1989,"n",1.1,1.26,1.15,1.2,1.16,1.15
"Belize",1990,"n",1.26,1.15,1.2,1.16,1.15,1.15
"Belize",1991,"n",1.15,1.2,1.16,1.15,1.15,1.09
"Belize",1992,"n",1.2,1.16,1.15,1.15,1.09,1.02
"Belize",1993,"n",1.16,1.15,1.15,1.09,1.02,1.03
"Belize",1994,"n",1.15,1.15,1.09,1.02,1.03,1.03
"Belize",1995,"n",1.15,1.09,1.02,1.03,1.03,1.05
"Belize",1996,"n",1.09,1.02,1.03,1.03,1.05,1.05
"Belize",1997,"n",1.02,1.03,1.03,1.05,1.05,1.1
"Belize",1998,"n",1.03,1.03,1.05,1.05,1.1,1.16
"Belize",1999,"n",1.03,1.05,1.05,1.1,1.16,1.07
"Belize",2000,"n",1.05,1.05,1.1,1.16,1.07,1.07
"Belize",2001,"n",1.05,1.1,1.16,1.07,1.07,1.12
"Belize",2002,"n",1.1,1.16,1.07,1.07,1.12,1.07
"Belize",2003,"n",1.16,1.07,1.07,1.12,1.07,1.07
"Belize",2004,"n",1.07,1.07,1.12,1.07,1.07,1.08
"Belize",2005,"n",1.07,1.12,1.07,1.07,1.08,1.04
"Belize",2006,"n",1.12,1.07,1.07,1.08,1.04,1.06
"Belize",2007,"n",1.07,1.07,1.08,1.04,1.06,1.01
"Belize",2008,"n",1.07,1.08,1.04,1.06,1.01,1.04
"Belize",2009,"n",1.08,1.04,1.06,1.01,1.04,1.05
"Benin",1984,"n",1.12,1.08,1.02,1.04,1.07,1.05
"Benin",1985,"n",1.08,1.02,1.04,1.07,1.05,1.01
"Benin",1986,"n",1.02,1.04,1.07,1.05,1.01,1.07
"Benin",1987,"n",1.04,1.07,1.05,1.01,1.07,1.01
"Benin",1988,"n",1.07,1.05,1.01,1.07,1.01,1.13
"Benin",1989,"n",1.05,1.01,1.07,1.01,1.13,1.08
"Benin",1990,"n",1.01,1.07,1.01,1.13,1.08,1.05
"Benin",1991,"n",1.07,1.01,1.13,1.08,1.05,1.08
